PracNo,PracticeName,Address1,Address2,Address3,Postcode,LCG,Registered_Patients
1,Dr. HOEY & PARTNERS                 ,HARLAND MEDICAL PRACTICE,HOLYWOOD ARCHES HEALTH CENTRE,WESTMINSTER AVENUE,BT4 1NS,Belfast,6647
3,Dr. MCCUTCHEON & PARTNERS           ,GREENWAY PRACTICE,HOLYWOOD ARCHES HC 2ND FLOOR,WESTMINSTER AVENUE,BT4 1NS,Belfast,7134
6,Dr. MCIVOR & PARTNERS               ,CARRYDUFF SURGERY,HILLSBOROUGH ROAD,CARRYDUFF,BT8 8HR,Belfast,11410
10,Dr. WILSON & PARTNER                ,TEMPLEMORE MEDICAL CENTRE,225 ALBERTBRIDGE ROAD,BELFAST,BT5 4PX,Belfast,2408
13,Dr. COOGAN                          ,TEMPLEMORE MEDICAL CENTRE,225 ALBERTBRIDGE ROAD,BELFAST,BT5 4PX,Belfast,3230
14,Dr. COULTER & PARTNERS              ,KERRSLAND SURGERY,169 UPPER NEWTOWNARDS ROAD,BELFAST,BT4 3HZ,Belfast,8474
15,Dr. MCGARRITY & PARTNERS            ,HOLYWOOD ROAD SURGERY,54 HOLYWOOD ROAD,BELFAST,BT4 1NT,Belfast,5617
16,Dr. MCCANN & PARTNERS               ,KNOCK MEDICAL CENTRE,423B UPPER NEWTOWNARDS ROAD,BELFAST,BT4 3LH,Belfast,6129
17,Dr. MERCER & PARTNERS               ,HOLYWOOD ARCHES HEALTH CENTRE,WESTMINSTER AVENUE,BELFAST,BT4 1NS,Belfast,5511
18,Dr. MCCONVILLE & PARTNERS           ,BRIDGES FAMILY PRACTICE,2-6 BRYSON STREET,BELFAST,BT5 4ES,Belfast,7233
19,Dr. MITCHELL & PARTNERS             ,LINEN COURT SURGERY,336 BEERSBRIDGE ROAD,BELFAST,BT5 5DY,Belfast,4351
20,Dr. LUA & PARTNERS                  ,LEWIS SQUARE PRACTICE,HOLYWOOD ARCHES HEALTH CENTRE,WESTMINSTER AVENUE,BT4 1NS,Belfast,4083
24,Dr. MCCLOSKEY & PARTNERS            ,THE MOUNT GROUP PRACTICE,50 CASTLEREAGH STREET,BELFAST,BT5 4NH,Belfast,4194
28,Dr. GALLAGHER & PARTNERS            ,THE VICTORIA PRACTICE,HOLYWOOD ARCHES HEALTH CENTRE,WESTMINSTER AVENUE,BT4 1NS,Belfast,3328
29,Dr. SAVAGE & PARTNERS               ,CASTLEREAGH MEDICAL CENTRE,21 BALLYGOWAN ROAD,BELFAST,BT5 7LH,Belfast,5012
30,Dr. THOMPSON & PARTNERS             ,EASTSIDE SURGERY,56 TEMPLEMORE AVENUE,BELFAST,BT5 4FT,Belfast,2798
31,Dr. COOKE & PARTNERS                ,DUNDONALD MEDICAL CENTRE,16 CHURCH ROAD,"DUNDONALD, BELFAST",BT16 2LN,Belfast,7414
32,Dr. KELLY & PARTNERS                ,WILLOWFIELD SURGERY,50/52 CASTLEREAGH ROAD,BELFAST,BT5 5FP,Belfast,4070
33,Dr. RODGERS & PARTNERS              ,WOODSTOCK MEDICAL CENTRE,222 WOODSTOCK ROAD,BELFAST,BT6 9DL,Belfast,5065
37,Dr. MONCRIEFF & PARTNERS            ,CHERRYVALLEY GROUP PRACTICE,CHERRYVALLEY HEALTH CENTRE,KINGS SQUARE,BT5 7BP,Belfast,6650
38,Dr. ABERNETHY                       ,CHERRYVALLEY FAMILY PRACTICE,CHERRYVALLEY HEALTH CENTRE,KINGS SQUARE,BT5 7BP,Belfast,1968
52,Dr. SAVAGE & PARTNER                ,ALBERTVILLE SURGERY,16 MCCANDLESS STREET,CRUMLIN ROAD,BT13 1RU,Belfast,2796
53,Dr. COLGAN                          ,463 FALLS ROAD,BELFAST,NULL,BT12 6DD,Belfast,3163
55,Dr. O'KANE                          ,THE HEALTH CENTRE,94-100 CRUMLIN ROAD,BELFAST,BT14 6AR,Belfast,1199
57,Dr. CAMPBELL & PARTNER              ,"THE MAUREEN SHEEHAN CENTRE, BUILDING 2",106 ALBERT STREET,BELFAST,BT12 4HL,Belfast,5131
58,Dr. FARNAN & PARTNERS               ,THE GROUP SURGERY,257 NORTH QUEEN STREET,BELFAST,BT15 1HS,Belfast,5842
60,Dr. BURNS & PARTNERS                ,DUNCAIRN MEDICAL PRACTICE,165 DUNCAIRN GARDENS,BELFAST,BT15 2GE,Belfast,3548
61,Dr. CROSSIN & PARTNERS              ,THE CARRICK HILL MEDICAL CENTRE,1 CARRICK HILL,BELFAST,BT1 2JR,Belfast,9580
62,Dr. GARDINER & PARTNER              ,GARDINER FAMILY PRACTICE,CRUMLIN ROAD HEALTH CENTRE,"100 CRUMLIN ROAD, BELFAST",BT14 6AR,Belfast,1297
63,Dr. O'DONNELL & PARTNERS            ,WILLOW MEDICAL PRACTICE,155 ANDERSONSTOWN ROAD,BELFAST,BT11 9EA,Belfast,3022
64,Dr. DONAGHY & PARTNERS              ,DUNVILLE HEALTH CENTRE,309 GROSVENOR ROAD,BELFAST,BT12 4LP,Belfast,4251
66,Dr. DURKAN & PARTNERS               ,PARKSIDE SURGERY,GROVE WELLBEING CENTRE,120 YORK ROAD,BT15 3HF,Belfast,6968
68,Dr. CARDWELL & PARTNERS             ,SHANKILL SURGERY,136-138 SHANKILL ROAD,BELFAST,BT13 2BD,Belfast,2549
69,Dr. TAN & PARTNER                   ,FLAX MEDICAL CENTRE,FLAX CENTRE,ARDOYNE AVENUE,BT14 7DA,Belfast,3018
70,Dr. CHAMBERS & PARTNERS             ,BALLYSILLAN GROUP PRACTICE,156-158 BALLYSILLAN ROAD,BELFAST,BT14 7QR,Belfast,5581
71,Dr. LEAVY & PARTNERS                ,SPRINGVALE MEDICAL PRACTICE,463 SPRINGFIELD ROAD,BELFAST,BT12 7DP,Belfast,6510
72,Dr. AGAHI & PARTNERS                ,MOUNTAINVIEW SURGERY,585 CRUMLIN ROAD,BELFAST,BT14 7GB,Belfast,1913
73,Dr. CLULOW & PARTNERS               ,CRUMLIN ROAD FAMILY PRACTICE,CRUMLIN ROAD HEALTH CENTRE,"94-100 CRUMLIN ROAD, BELFAST",BT14 6AR,Belfast,2138
74,Dr. BEATTIE & PARTNER               ,NORTHGATE FAMILY PRACTICE,36 DUNCAIRN GARDENS,BELFAST,BT15 2GH,Belfast,2734
75,Dr. MCCLOSKEY & PARTNERS            ,GROSVENOR ROAD SURGERY,216 GROSVENOR ROAD,BELFAST,BT12 5LT,Belfast,9870
79,Dr. LOGAN & PARTNERS                ,SPRINGFIELD ROAD SURGERY,70 SPRINGFIELD ROAD,BELFAST,BT12 7AH,Belfast,9127
80,Dr. CONWAY & PARTNERS               ,460 OLDPARK ROAD,BELFAST,NULL,BT14 6QG,Belfast,4846
81,Dr. MCHUGH & PARTNERS               ,SPRINGFIELD MEDICAL CENTRE,44-46 SPRINGFIELD ROAD,BELFAST,BT12 7AH,Belfast,7217
83,Dr. PATTON & PARTNERS               ,GROVE MEDICAL PRACTICE,GROVE WELL BEING CENTRE,120 YORK ROAD,BT15 3HF,Belfast,5645
84,Dr. SALTERS & PARTNERS              ,186 FALLS ROAD,BELFAST,NULL,BT12 6AG,Belfast,3693
85,Dr. MCMAHON & PARTNERS              ,ANTRIM ROAD MEDICAL CENTRE,515 ANTRIM ROAD,BELFAST,BT15 3BS,Belfast,5272
86,Dr. HARKIN & PARTNERS               ,SALISBURY MEDICAL CENTRE,474 ANTRIM ROAD,BELFAST,BT15 5GF,Belfast,11054
92,Dr. MCFERRAN & PARTNERS             ,BALLYOWEN HEALTH CENTRE,179 ANDERSONSTOWN ROAD,BELFAST,BT11 9EA,Belfast,5122
93,Dr. CLARKE & PARTNERS               ,CLIFTONVILLE MEDICAL PRACTICE,61 CLIFTONVILLE ROAD,BELFAST,BT14 6JN,Belfast,5649
94,Dr. CUMMINGS & PARTNER              ,FALLS FAMILY DOCTORS,115 FALLS ROAD,BELFAST,BT12 6AA,Belfast,7214
96,Dr. MAGENIS & PARTNERS              ,MALVERN FAMILY PRACTICE,CORNERSTONE MEDICAL CENTRE,69 SHANKILL ROAD,BT13 1FD,Belfast,5242
98,Dr. GILMORE & PARTNERS              ,LIGONIEL HEALTH CENTRE,74A LIGONIEL ROAD,BELFAST,BT14 8BY,Belfast,3983
