PracNo,PracticeName,Address1,Address2,Address3,Postcode,LCG,Registered_Patients
1,Dr. HOEY & PARTNERS                 ,HARLAND MEDICAL PRACTICE,HOLYWOOD ARCHES HEALTH CENTRE,WESTMINSTER AVENUE,BT4 1NS,Belfast,6795
3,Dr. MCCUTCHEON & PARTNERS           ,GREENWAY PRACTICE,HOLYWOOD ARCHES HC 2ND FLOOR,WESTMINSTER AVENUE,BT4 1NS,Belfast,7094
6,Dr. MASON & PARTNERS                ,CARRYDUFF SURGERY,HILLSBOROUGH ROAD,CARRYDUFF,BT8 8HR,Belfast,12284
10,Dr. WILSON & PARTNERS               ,TEMPLEMORE MEDICAL CENTRE,225 ALBERTBRIDGE ROAD,BELFAST,BT5 4PX,Belfast,5575
14,Dr. MILLAR & PARTNERS               ,KERRSLAND SURGERY,169 UPPER NEWTOWNARDS ROAD,BELFAST,BT4 3HZ,Belfast,8887
15,Dr. MCCALLAN & PARTNERS             ,HOLYWOOD ROAD SURGERY,54 HOLYWOOD ROAD,BELFAST,BT4 1NT,Belfast,5382
16,Dr. MCCANN & PARTNERS               ,KNOCK MEDICAL CENTRE,423B UPPER NEWTOWNARDS ROAD,BELFAST,BT4 3LH,Belfast,6339
17,Dr. LARGE & PARTNERS                ,CONNSWATER FAMILY PRACTICE,THE ARCHES CENTRE,WESTMINSTER AVENUE,BT4 1NS,Belfast,5308
18,Dr. MCCONVILLE & PARTNERS           ,BRIDGES FAMILY PRACTICE,2-6 BRYSON STREET,BELFAST,BT5 4ES,Belfast,8110
19,Dr. MCKENNA & PARTNERS              ,LINEN COURT SURGERY,336 BEERSBRIDGE ROAD,BELFAST,BT5 5DY,Belfast,4558
20,Dr. LUA & PARTNERS                  ,LEWIS SQUARE PRACTICE,HOLYWOOD ARCHES HEALTH CENTRE,WESTMINSTER AVENUE,BT4 1NS,Belfast,4298
24,Dr. MCCLOSKEY & PARTNERS            ,THE MOUNT GROUP PRACTICE,50 CASTLEREAGH STREET,BELFAST,BT5 4NH,Belfast,3804
28,Dr. GALLAGHER & PARTNERS            ,THE VICTORIA PRACTICE,HOLYWOOD ARCHES HEALTH CENTRE,WESTMINSTER AVENUE,BT4 1NS,Belfast,3403
29,Dr. LEITCH & PARTNERS               ,CASTLEREAGH MEDICAL CENTRE,21 BALLYGOWAN ROAD,BELFAST,BT5 7LH,Belfast,5422
30,Dr. THOMPSON & PARTNER              ,EASTSIDE SURGERY,56 TEMPLEMORE AVENUE,BELFAST,BT5 4FT,Belfast,2597
31,Dr. COOKE & PARTNERS                ,DUNDONALD MEDICAL CENTRE,16 CHURCH ROAD,"DUNDONALD, BELFAST",BT16 2LN,Belfast,7142
33,Dr. RODGERS & PARTNERS              ,WOODSTOCK MEDICAL CENTRE,222 WOODSTOCK ROAD,BELFAST,BT6 9DL,Belfast,5532
37,Dr. FINLAY & PARTNERS               ,CHERRYVALLEY GROUP PRACTICE,CHERRYVALLEY HEALTH CENTRE,KINGS SQUARE,BT5 7BP,Belfast,6985
