PracNo,PracticeName,Address1,Address2,Address3,Postcode,LCG,Registered_Patients
1,Dr. HOEY & PARTNERS                 ,HARLAND MEDICAL PRACTICE,HOLYWOOD ARCHES HEALTH CENTRE,WESTMINSTER AVENUE,BT4 1NS,Belfast,6700
3,Dr. MCCUTCHEON & PARTNERS           ,GREENWAY PRACTICE,HOLYWOOD ARCHES HC 2ND FLOOR,WESTMINSTER AVENUE,BT4 1NS,Belfast,7071
6,Dr. MCIVOR & PARTNERS               ,CARRYDUFF SURGERY,HILLSBOROUGH ROAD,CARRYDUFF,BT8 8HR,Belfast,11485
10,Dr. WILSON & PARTNER                ,DR WILSON & PARTNER,TEMPLEMORE MEDICAL CENTRE,225 ALBERTBRIDGE ROAD,BT5 4PX,Belfast,2387
13,Dr. COOGAN                          ,DR COOGAN,TEMPLEMORE MEDICAL CENTRE,225 ALBERTBRIDGE ROAD,BT5 4PX,Belfast,3222
14,Dr. COULTER & PARTNERS              ,KERRSLAND SURGERY,169 UPPER NEWTOWNARDS ROAD,BELFAST,BT4 3HZ,Belfast,8504
15,Dr. CUMMINGS & PARTNERS             ,HOLYWOOD ROAD SURGERY,54 HOLYWOOD ROAD,BELFAST,BT4 1NT,Belfast,5577
16,Dr. MCCANN & PARTNERS               ,KNOCK MEDICAL CENTRE,423B UPPER NEWTOWNARDS ROAD,BELFAST,BT4 3LH,Belfast,6175
17,Dr. MERCER & PARTNERS               ,"Drs SCOTT, MERCER AND LARGE",HOLYWOOD ARCHES HEALTH CENTRE,WESTMINSTER AVENUE,BT4 1NS,Belfast,5440
18,Dr. MCCONVILLE & PARTNERS           ,BRIDGES FAMILY PRACTICE,2-6 BRYSON STREET,BELFAST,BT5 4ES,Belfast,7414
19,Dr. MITCHELL & PARTNERS             ,LINEN COURT SURGERY,336 BEERSBRIDGE ROAD,BELFAST,BT5 5DY,Belfast,4437
20,Dr. LUA & PARTNERS                  ,LEWIS SQUARE PRACTICE,HOLYWOOD ARCHES HEALTH CENTRE,WESTMINSTER AVENUE,BT4 1NS,Belfast,4124
